cycle number,Ewe/V
456,2.114600
457,2.114540
458,2.114600
459,2.114620
460,2.114620
461,2.114400
462,2.114440
463,2.114480
464,2.114460
465,2.114420
466,2.114440
467,2.114350
468,2.114400
469,2.114400
470,2.114250
471,2.114440
472,2.114290
473,2.114370
474,2.114390
475,2.114350
476,2.114350
477,2.114420
478,2.114290
479,2.114480
480,2.114620
481,2.114630
482,2.114560
483,2.114600
484,2.114580
485,2.114600
486,2.114580
487,2.114620
488,2.114560
489,2.114580
490,2.114540
491,2.114690
492,2.114650
493,2.114690
494,2.114730
495,2.114670
496,2.114770
497,2.114730
498,2.114790
499,2.114670
500,2.114750
501,2.114830
502,2.114860
503,2.114960
504,2.114790
505,2.114790
506,2.115000
507,2.114960
508,2.114960
509,2.115070
510,2.114880
511,2.114880
512,2.115050
513,2.115000
514,2.115090
515,2.115110
516,2.115050
517,2.115130
518,2.115130
519,2.115170
520,2.115260
521,2.115170
522,2.115210
523,2.115170
524,2.115230
525,2.115190
526,2.115280
527,2.115190
528,2.115340
529,2.115260
530,2.115260
531,2.115340
532,2.115360
533,2.115440
534,2.115440
535,2.115300
536,2.115280
537,2.115380
538,2.115400
539,2.115420
540,2.115360
541,2.115320
542,2.115420
543,2.115170
544,2.115300
545,2.115250
546,2.115130
547,2.115260
548,2.115190
549,2.115250
550,2.115210
551,2.115110
552,2.115250
553,2.115130
554,2.115150
555,2.115150
556,2.115130
557,2.115070
558,2.115150
559,2.115130
560,2.115040
561,2.115040
562,2.114960
563,2.114920
564,2.114940
565,2.114980
566,2.114960
567,2.114980
568,2.114840
569,2.114840
570,2.114900
571,2.114840
572,2.114830
573,2.114840
574,2.114860
575,2.114960
576,2.114830
577,2.114730
578,2.114770
579,2.114730
580,2.114750
581,2.114880
582,2.114750
583,2.114810
584,2.114670
585,2.114750
586,2.114790
587,2.114670
588,2.114710
589,2.114770
590,2.114730
591,2.114670
592,2.114710
593,2.114670
594,2.114630
595,2.114620
596,2.114730
597,2.114670
598,2.114620
599,2.114580
600,2.114520
601,2.114580
602,2.114620
603,2.114620
604,2.114620
605,2.114600
606,2.114670
607,2.114710
608,2.114650
609,2.114630
610,2.114620
611,2.114630
612,2.114750
613,2.114620
614,2.114520
615,2.114540
616,2.114500
617,2.114580
618,2.114600
619,2.114600
620,2.114440
621,2.114540
622,2.114540
623,2.114600
624,2.114480
