        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.142623,   0.000553,   0.800986
   2.142002,   0.000556,   0.805629
   2.141225,   0.000559,   0.810272
   2.140292,   0.000562,   0.814914
   2.139671,   0.000565,   0.819557
   2.138738,   0.000569,   0.824201
   2.138117,   0.000572,   0.828845
   2.137184,   0.000575,   0.833488
   2.136252,   0.000578,   0.838131
    2.13563,   0.000582,   0.842774
   2.134853,   0.000585,   0.847417
   2.134231,   0.000588,    0.85206
    2.13361,   0.000591,   0.856704
   2.132677,   0.000594,   0.861348
   2.132056,   0.000598,   0.865991
   2.131279,   0.000601,   0.870634
   2.130657,   0.000604,   0.875278
   2.129725,   0.000607,   0.879921
   2.128947,    0.00061,   0.884564
   2.128481,   0.000614,   0.889207
   2.127549,   0.000617,   0.893851
   2.126927,    0.00062,   0.898494
   2.126461,   0.000623,   0.903138
   2.125528,   0.000626,   0.907782
   2.125062,    0.00063,   0.912426
    2.12413,   0.000633,   0.917069
   2.123663,   0.000636,   0.921712
   2.122886,   0.000639,   0.926355
   2.121954,   0.000642,   0.930999
   2.121488,   0.000646,   0.935642
   2.120711,   0.000649,   0.940285
   2.120089,   0.000652,   0.944928
   2.119623,   0.000655,   0.949571
   2.118846,   0.000658,   0.954215
    2.11838,   0.000662,   0.958859
   2.117602,   0.000665,   0.963502
   2.116825,   0.000668,   0.968145
   2.116359,   0.000671,   0.972788
   2.115582,   0.000674,   0.977431
   2.115116,   0.000678,   0.982074
   2.114339,   0.000681,   0.986717
   2.113873,   0.000684,   0.991361
   2.113406,   0.000687,   0.996004
   2.112629,    0.00069,   1.000648
   2.112163,   0.000694,   1.005292
   2.111386,   0.000697,   1.009935
   2.110609,     0.0007,   1.014578
   2.110143,   0.000703,   1.019222
   2.109366,   0.000706,   1.023864
     2.1089,    0.00071,   1.028507
   2.108278,   0.000713,    1.03315
   2.107812,   0.000716,   1.037794
   2.107345,   0.000719,   1.042437
   2.106724,   0.000722,   1.047079
   2.106257,   0.000726,   1.051723
    2.10548,   0.000729,   1.056366
   2.104859,   0.000732,    1.06101
   2.104393,   0.000735,   1.065653
   2.103771,   0.000739,   1.070297
   2.103305,   0.000742,    1.07494
   2.102528,   0.000745,   1.079584
   2.102217,   0.000748,   1.084227
   2.101751,   0.000751,    1.08887
   2.101129,   0.000755,   1.093514
   2.100663,   0.000758,   1.098158
   2.100041,   0.000761,   1.102802
   2.099264,   0.000764,   1.107446
   2.098953,   0.000767,    1.11209
   2.098332,   0.000771,   1.116733
   2.098021,   0.000774,   1.121377
   2.097399,   0.000777,   1.126021
   2.096933,    0.00078,   1.130664
   2.096467,   0.000783,   1.135307
   2.095845,   0.000787,    1.13995
   2.095379,    0.00079,   1.144593
   2.094757,   0.000793,   1.149236
   2.094136,   0.000796,    1.15388
   2.093825,   0.000799,   1.158524
   2.093203,   0.000803,   1.163168
   2.092737,   0.000806,   1.167811
   2.092271,   0.000809,   1.172453
   2.091805,   0.000812,   1.177097
   2.091338,   0.000815,    1.18174
   2.090872,   0.000819,   1.186383
    2.09025,   0.000822,   1.191027
   2.089784,   0.000825,   1.195671
   2.089162,   0.000828,   1.200314
   2.088852,   0.000831,   1.204958
    2.08823,   0.000835,   1.209601
   2.087919,   0.000838,   1.214245
   2.087453,   0.000841,   1.218888
   2.086831,   0.000844,   1.223532
    2.08652,   0.000847,   1.228174
   2.085899,   0.000851,   1.232817
   2.085588,   0.000854,   1.237461
   2.084966,   0.000857,   1.242105
   2.084345,    0.00086,   1.246749
   2.084034,   0.000863,   1.251392
   2.083568,   0.000867,   1.256036
   2.083102,    0.00087,    1.26068
   2.082791,   0.000873,   1.265323
   2.082324,   0.000876,   1.269966
   2.081858,   0.000879,   1.274609
   2.081392,   0.000883,   1.279253
   2.080926,   0.000886,   1.283896
   2.080459,   0.000889,   1.288539
   2.079993,   0.000892,   1.293183
   2.079527,   0.000896,   1.297827
   2.079061,   0.000899,    1.30247
    2.07875,   0.000902,   1.307113
   2.078439,   0.000905,   1.311756
   2.077817,   0.000908,   1.316399
   2.077507,   0.000912,   1.321042
    2.07704,   0.000915,   1.325686
   2.076574,   0.000918,   1.330329
   2.076108,   0.000921,   1.334972
   2.075642,   0.000924,   1.339615
   2.075331,   0.000928,   1.344258
   2.074709,   0.000931,   1.348901
   2.074399,   0.000934,   1.353544
   2.074088,   0.000937,   1.358187
   2.073622,    0.00094,   1.362831
   2.073311,   0.000944,   1.367474
   2.072689,   0.000947,   1.372118
   2.072223,    0.00095,   1.376761
   2.071912,   0.000953,   1.381405
    2.07129,   0.000956,   1.386048
   2.071135,    0.00096,   1.390692
   2.070669,   0.000963,   1.395335
   2.070202,   0.000966,   1.399979
   2.069892,   0.000969,   1.404623
    2.06927,   0.000972,   1.409267
   2.069114,   0.000976,   1.413911
