        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.665155,   0.000506,   0.803879
   2.664377,   0.000509,   0.808567
   2.663755,   0.000512,   0.813255
   2.662822,   0.000515,   0.817942
     2.6622,   0.000518,    0.82263
   2.661577,   0.000521,   0.827318
   2.660644,   0.000524,   0.832005
   2.660022,   0.000527,   0.836693
   2.659244,    0.00053,   0.841381
   2.658155,   0.000533,   0.846068
   2.657533,   0.000536,   0.850756
     2.6566,   0.000539,   0.855444
   2.656133,   0.000542,   0.860131
     2.6552,   0.000545,   0.864819
   2.654577,   0.000548,   0.869507
     2.6538,   0.000551,   0.874194
   2.653022,   0.000554,   0.878882
     2.6524,   0.000557,   0.883569
   2.651466,    0.00056,   0.888256
   2.650533,   0.000563,   0.892944
   2.649911,   0.000566,   0.897631
   2.648978,   0.000568,   0.902319
   2.648511,   0.000571,   0.907007
   2.647422,   0.000574,   0.911694
   2.646955,   0.000577,   0.916382
   2.646178,    0.00058,    0.92107
   2.645244,   0.000583,   0.925757
   2.644622,   0.000586,   0.930444
   2.643844,   0.000589,   0.935131
   2.642755,   0.000592,   0.939819
   2.642133,   0.000595,   0.944506
     2.6412,   0.000598,   0.949194
   2.640733,   0.000601,   0.953882
     2.6398,   0.000604,   0.958569
   2.639178,   0.000607,   0.963256
   2.638555,    0.00061,   0.967943
   2.637622,   0.000613,   0.972631
   2.636533,   0.000616,   0.977319
   2.636066,   0.000619,   0.982006
   2.635133,   0.000622,   0.986694
   2.634511,   0.000625,   0.991382
   2.633578,   0.000628,   0.996069
   2.633111,    0.00063,   1.000757
   2.632022,   0.000633,   1.005445
     2.6314,   0.000636,   1.010132
   2.630778,   0.000639,    1.01482
   2.629844,   0.000642,   1.019508
   2.629066,   0.000645,   1.024195
   2.628444,   0.000648,   1.028883
   2.627355,   0.000651,   1.033571
   2.626889,   0.000654,   1.038258
   2.625955,   0.000657,   1.042946
   2.625333,    0.00066,   1.047634
     2.6244,   0.000663,   1.052321
   2.623778,   0.000666,   1.057009
   2.623155,   0.000669,   1.061697
   2.622222,   0.000672,   1.066384
   2.621289,   0.000675,   1.071072
   2.620667,   0.000678,   1.075759
   2.619733,   0.000681,   1.080446
   2.619111,   0.000684,   1.085133
   2.618178,   0.000687,    1.08982
   2.617555,    0.00069,   1.094508
   2.617089,   0.000692,   1.099195
      2.616,   0.000695,   1.103883
   2.615378,   0.000698,   1.108571
   2.614444,   0.000701,   1.113258
   2.613511,   0.000704,   1.117946
   2.612889,   0.000707,   1.122634
   2.611955,    0.00071,   1.127321
   2.611333,   0.000713,   1.132009
   2.610555,   0.000716,   1.136697
   2.609933,   0.000719,   1.141384
   2.609311,   0.000722,   1.146072
   2.608378,   0.000725,    1.15076
   2.607755,   0.000728,   1.155447
   2.606822,   0.000731,   1.160135
   2.605733,   0.000734,   1.164823
   2.605267,   0.000737,    1.16951
   2.604178,    0.00074,   1.174198
   2.603711,   0.000743,   1.178886
   2.602778,   0.000746,   1.183573
   2.602155,   0.000749,   1.188261
   2.601533,   0.000752,   1.192949
     2.6006,   0.000755,   1.197636
   2.599978,   0.000757,   1.202324
   2.599044,    0.00076,   1.207011
   2.598111,   0.000763,   1.211699
   2.597489,   0.000766,   1.216387
   2.596555,   0.000769,   1.221074
   2.595933,   0.000772,   1.225762
      2.595,   0.000775,    1.23045
   2.594378,   0.000778,   1.235137
   2.593755,   0.000781,   1.239825
   2.592667,   0.000784,   1.244513
     2.5922,   0.000787,     1.2492
   2.591111,    0.00079,   1.253888
   2.590489,   0.000793,   1.258576
   2.589867,   0.000796,   1.263263
   2.588933,   0.000799,   1.267949
   2.588156,   0.000802,   1.272636
   2.587378,   0.000805,   1.277323
     2.5866,   0.000808,    1.28201
   2.585978,   0.000811,   1.286698
   2.585044,   0.000814,   1.291385
