cycle number,Ewe/V
456,2.008410
457,2.008320
458,2.008300
459,2.008180
460,2.008070
461,2.008010
462,2.007950
463,2.007760
464,2.007840
465,2.007730
466,2.007800
467,2.007730
468,2.007610
469,2.007650
470,2.007530
471,2.007570
472,2.007530
473,2.007520
474,2.007630
475,2.007500
476,2.007480
477,2.007460
478,2.007520
479,2.007480
480,2.007530
481,2.007520
482,2.007460
483,2.007570
484,2.007480
485,2.007500
486,2.007550
487,2.007590
488,2.007740
489,2.007710
490,2.007610
491,2.007820
492,2.007730
493,2.007760
494,2.007820
495,2.007690
496,2.007900
497,2.007940
498,2.007820
499,2.007820
500,2.007840
501,2.007920
502,2.007940
503,2.007970
504,2.008130
505,2.008010
506,2.008010
507,2.008030
508,2.008130
509,2.008150
510,2.008300
511,2.008220
512,2.008320
513,2.008300
514,2.008390
515,2.008370
516,2.008390
517,2.008470
518,2.008430
519,2.008390
520,2.008660
521,2.008620
522,2.008680
523,2.008810
524,2.008620
525,2.008600
526,2.008870
527,2.008810
528,2.008810
529,2.008850
530,2.008930
531,2.008830
532,2.008970
533,2.008870
534,2.008810
535,2.008780
536,2.008790
537,2.008740
538,2.008660
539,2.008720
540,2.008660
541,2.008510
542,2.008490
543,2.008450
544,2.008300
545,2.008280
546,2.008200
547,2.008150
548,2.008130
549,2.008160
550,2.008150
551,2.008010
552,2.007950
553,2.007900
554,2.007900
555,2.007920
556,2.007780
557,2.007740
558,2.007760
559,2.007520
560,2.007590
561,2.007460
562,2.007400
563,2.007340
564,2.007440
565,2.007380
566,2.007380
567,2.007290
568,2.007150
569,2.007290
570,2.007190
571,2.007190
572,2.007130
573,2.007060
574,2.007110
575,2.007150
576,2.007000
577,2.006900
578,2.006940
579,2.006960
580,2.006940
581,2.006940
582,2.007000
583,2.006850
584,2.006870
585,2.006750
586,2.006870
587,2.006960
588,2.006850
589,2.006850
590,2.006730
591,2.006660
592,2.006660
593,2.006730
594,2.006620
595,2.006560
596,2.006600
597,2.006480
598,2.006580
599,2.006470
600,2.006520
601,2.006520
602,2.006500
603,2.006480
604,2.006620
605,2.006470
606,2.006410
607,2.006480
608,2.006540
609,2.006480
610,2.006480
611,2.006430
612,2.006520
613,2.006390
614,2.006470
615,2.006410
616,2.006330
617,2.006290
618,2.006330
619,2.006240
620,2.006160
621,2.006060
622,2.005890
623,2.005910
624,2.005930
625,2.005950
626,2.005950
627,2.005890
628,2.005910
629,2.005800
630,2.005850
631,2.005660
632,2.005700
633,2.005680
634,2.005570
635,2.005700
636,2.005590
637,2.005640
638,2.005470
639,2.005400
640,2.005300
641,2.005260
642,2.005240
643,2.005170
644,2.005240
645,2.005240
646,2.004960
647,2.004920
648,2.004880
649,2.004860
650,2.004860
651,2.004690
652,2.004820
653,2.004690
654,2.004650
655,2.004590
656,2.004520
657,2.004480
658,2.004420
659,2.004500
660,2.004330
661,2.004190
662,2.004100
663,2.004120
664,2.004150
665,2.003980
666,2.003910
667,2.003910
668,2.003930
669,2.003890
670,2.003700
671,2.003730
672,2.003770
673,2.003720
674,2.003510
675,2.003470
676,2.003600
677,2.003450
678,2.003410
679,2.003390
680,2.003390
681,2.003120
682,2.003280
683,2.003260
684,2.003220
685,2.003240
686,2.003100
687,2.003050
688,2.002950
689,2.002860
690,2.002910
691,2.002950
692,2.002860
693,2.002760
694,2.002760
695,2.002720
696,2.002550
697,2.002440
698,2.002610
699,2.002340
700,2.002340
701,2.002320
702,2.002260
703,2.002280
704,2.002210
705,2.002150
706,2.002050
707,2.002000
708,2.002000
709,2.002000
710,2.002040
711,2.001960
712,2.001900
713,2.002000
714,2.001940
715,2.001960
716,2.001980
717,2.001830
718,2.001840
719,2.001770
720,2.001650
721,2.001750
722,2.001620
723,2.001540
724,2.001390
725,2.001440
726,2.001290
727,2.001440
728,2.001270
729,2.001290
730,2.001330
731,2.001140
732,2.001250
733,2.001120
734,2.001100
735,2.001020
736,2.000990
737,2.000970
738,2.001080
739,2.001020
740,2.000990
741,2.000870
742,2.000990
743,2.000890
744,2.000830
745,2.001000
746,2.000870
747,2.000810
748,2.000830
749,2.000910
750,2.000890
751,2.000930
752,2.000930
753,2.000930
754,2.000740
755,2.000780
756,2.000790
757,2.000780
758,2.000640
759,2.000720
760,2.000620
761,2.000570
762,2.000550
763,2.000470
764,2.000570
765,2.000550
766,2.000530
767,2.000550
768,2.000530
769,2.000450
770,2.000600
771,2.000430
772,2.000410
773,2.000390
774,2.000390
775,2.000510
776,2.000410
777,2.000360
778,2.000410
779,2.000430
780,2.000410
781,2.000360
782,2.000410
783,2.000360
784,2.000320
785,2.000160
786,2.000340
787,2.000220
788,2.000300
789,1.999940
790,1.999880
791,2.000010
792,1.999740
793,1.999760
794,1.999880
795,1.999880
796,1.999900
797,1.999970
798,1.999920
799,1.999970
800,2.000200
801,2.000010
802,2.000150
803,2.000220
804,2.000180
805,2.000260
806,2.000220
807,2.000300
808,2.000300
809,2.000280
810,2.000240
811,2.000370
812,2.000200
813,2.000240
814,2.000280
815,2.000090
816,2.000240
817,2.000150
818,2.000200
819,2.000110
820,2.000070
821,1.999900
822,1.999900
823,1.999940
824,1.999990
825,2.000030
826,1.999900
827,1.999860
828,1.999950
829,1.999860
830,1.999820
831,1.999900
832,1.999820
833,1.999820
834,1.999730
835,1.999820
836,1.999730
837,1.999820
838,1.999570
839,1.999550
840,1.999730
841,1.999530
842,1.999590
843,1.999510
844,1.999510
845,1.999590
846,1.999630
847,1.999510
848,1.999610
849,1.999730
850,1.999590
851,1.999760
852,1.999570
853,1.999630
854,1.999710
855,1.999690
856,1.999500
857,1.999570
858,1.999610
859,1.999630
860,1.999510
861,1.999500
862,1.999630
863,1.999610
864,1.999590
865,1.999610
866,1.999500
867,1.999500
868,1.999510
869,1.999420
870,1.999400
871,1.999420
872,1.999440
873,1.999420
874,1.999440
875,1.999290
876,1.999250
877,1.999250
878,1.999460
879,1.999380
880,1.999380
881,1.999420
882,1.999340
883,1.999500
884,1.999420
885,1.999400
886,1.999380
887,1.999500
888,1.999340
889,1.999460
890,1.999290
891,1.999300
892,1.999360
893,1.999250
894,1.999150
895,1.999110
896,1.999150
897,1.999150
898,1.999040
899,1.998960
900,1.998960
901,1.998900
902,1.998810
903,1.998690
904,1.998770
905,1.998850
906,1.998790
907,1.998710
908,1.998660
909,1.998660
910,1.998560
911,1.998660
912,1.998520
913,1.998600
914,1.998500
915,1.998540
916,1.998390
917,1.998430
918,1.998430
919,1.998370
920,1.998270
921,1.998140
922,1.998200
923,1.997990
924,1.998140
925,1.998010
926,1.998030
927,1.997850
928,1.997870
929,1.997850
930,1.997950
931,1.997780
932,1.997780
933,1.997830
934,1.997700
935,1.997760
936,1.997590
937,1.997570
938,1.997590
939,1.997620
940,1.997530
941,1.997590
942,1.997490
943,1.997430
944,1.997470
945,1.997340
946,1.997380
947,1.997340
948,1.997220
949,1.997260
950,1.997200
951,1.997200
952,1.997170
953,1.997110
954,1.996980
955,1.997010
956,1.996980
957,1.996860
958,1.996980
959,1.996880
960,1.996920
961,1.996780
962,1.996730
963,1.996690
964,1.996690
965,1.996570
966,1.996520
967,1.996420
968,1.996420
969,1.996360
970,1.996310
971,1.996250
972,1.996190
973,1.996210
974,1.996080
975,1.996060
976,1.996100
977,1.996000
978,1.995940
979,1.995960
980,1.995980
981,1.995960
982,1.995810
983,1.995770
984,1.995730
985,1.995700
986,1.995730
987,1.995790
988,1.995640
989,1.995560
990,1.995660
991,1.995560
992,1.995600
993,1.995490
994,1.995510
995,1.995540
996,1.995450
997,1.995430
998,1.995410
999,1.995410
1000,1.995280
1001,1.995310
1002,1.995180
1003,1.995260
1004,1.995090
1005,1.995090
1006,1.995180
1007,1.995100
1008,1.994840
1009,1.995050
1010,1.995140
1011,1.995010
1012,1.994930
1013,1.994860
1014,1.994840
1015,1.994880
1016,1.994860
1017,1.994820
1018,1.994650
1019,1.994680
1020,1.994660
1021,1.994840
1022,1.994570
1023,1.994650
1024,1.994510
1025,1.994470
1026,1.994380
1027,1.994280
1028,1.994260
1029,1.994280
1030,1.994190
1031,1.994090
1032,1.994050
1033,1.994030
1034,1.993980
1035,1.994020
1036,1.993750
1037,1.993860
1038,1.993860
1039,1.993790
1040,1.993630
1041,1.993440
1042,1.993540
1043,1.993610
1044,1.993390
1045,1.993350
1046,1.993440
1047,1.993190
1048,1.993400
1049,1.993060
1050,1.993210
1051,1.993120
1052,1.993020
1053,1.993000
1054,1.992870
1055,1.992930
1056,1.992930
1057,1.992830
1058,1.992760
1059,1.992770
1060,1.992720
1061,1.992680
1062,1.992680
1063,1.992580
1064,1.992430
1065,1.992240
1066,1.992350
1067,1.992350
1068,1.992320
1069,1.992180
1070,1.992200
1071,1.992070
1072,1.992090
1073,1.992110
1074,1.991860
1075,1.991930
1076,1.992090
1077,1.991840
1078,1.991920
1079,1.991780
1080,1.991780
1081,1.991720
1082,1.991590
1083,1.991530
1084,1.991530
1085,1.991320
1086,1.991400
1087,1.991400
1088,1.991210
1089,1.991190
1090,1.991110
1091,1.991130
1092,1.991040
1093,1.990980
1094,1.990960
1095,1.990960
1096,1.990810
1097,1.990810
1098,1.990790
1099,1.990690
1100,1.990620
1101,1.990560
1102,1.990520
1103,1.990520
1104,1.990460
1105,1.990350
1106,1.990350
1107,1.990390
1108,1.990290
1109,1.990200
1110,1.990250
1111,1.990370
1112,1.990200
1113,1.990200
1114,1.990200
1115,1.990080
1116,1.989990
1117,1.989950
1118,1.990140
1119,1.990060
1120,1.990120
1121,1.989990
1122,1.990030
1123,1.990060
1124,1.989910
1125,1.990010
1126,1.989910
1127,1.989850
1128,1.989910
1129,1.989970
1130,1.990030
1131,1.989800
1132,1.989870
1133,1.989850
1134,1.989800
1135,1.989820
1136,1.989660
1137,1.989620
1138,1.989720
1139,1.989720
1140,1.989610
1141,1.989530
1142,1.989640
1143,1.989430
1144,1.989550
1145,1.989400
1146,1.989570
1147,1.989570
1148,1.989530
1149,1.989530
1150,1.989470
1151,1.989490
1152,1.989410
1153,1.989360
1154,1.989340
1155,1.989200
1156,1.989300
1157,1.989300
1158,1.989130
1159,1.989150
